onset	duration	sample	value
5.372	0	2686	Photo/HV mark
5.466	0	2733	PHOTO 10Hz          
5.472	0	2736	Photo/HV mark
5.572	0	2786	Photo/HV mark
5.672	0	2836	Photo/HV mark
5.772	0	2886	Photo/HV mark
5.872	0	2936	Photo/HV mark
5.972	0	2986	Photo/HV mark
6.072	0	3036	Photo/HV mark
6.172	0	3086	Photo/HV mark
6.272	0	3136	Photo/HV mark
6.372	0	3186	Photo/HV mark
6.472	0	3236	Photo/HV mark
6.572	0	3286	Photo/HV mark
6.672	0	3336	Photo/HV mark
6.772	0	3386	Photo/HV mark
6.872	0	3436	Photo/HV mark
6.972	0	3486	Photo/HV mark
7.072	0	3536	Photo/HV mark
7.172	0	3586	Photo/HV mark
7.272	0	3636	Photo/HV mark
7.372	0	3686	Photo/HV mark
7.454	0	3727	open eyes
7.472	0	3736	Photo/HV mark
7.572	0	3786	Photo/HV mark
7.672	0	3836	Photo/HV mark
7.772	0	3886	Photo/HV mark
7.872	0	3936	Photo/HV mark
7.972	0	3986	Photo/HV mark
8.072	0	4036	Photo/HV mark
8.172	0	4086	Photo/HV mark
8.272	0	4136	Photo/HV mark
8.372	0	4186	Photo/HV mark
8.472	0	4236	Photo/HV mark
8.572	0	4286	Photo/HV mark
8.672	0	4336	Photo/HV mark
8.772	0	4386	Photo/HV mark
8.872	0	4436	Photo/HV mark
8.972	0	4486	Photo/HV mark
9.072	0	4536	Photo/HV mark
9.172	0	4586	Photo/HV mark
9.272	0	4636	Photo/HV mark
9.372	0	4686	Photo/HV mark
9.472	0	4736	Photo/HV mark
9.572	0	4786	Photo/HV mark
9.672	0	4836	Photo/HV mark
9.772	0	4886	Photo/HV mark
9.872	0	4936	Photo/HV mark
9.972	0	4986	Photo/HV mark
10.072	0	5036	Photo/HV mark
10.172	0	5086	Photo/HV mark
10.272	0	5136	Photo/HV mark
10.372	0	5186	Photo/HV mark
10.472	0	5236	Photo/HV mark
10.572	0	5286	Photo/HV mark
10.672	0	5336	Photo/HV mark
10.726	0	5363	closed eyes
10.772	0	5386	Photo/HV mark
10.872	0	5436	Photo/HV mark
10.972	0	5486	Photo/HV mark
11.072	0	5536	Photo/HV mark
11.172	0	5586	Photo/HV mark
11.272	0	5636	Photo/HV mark
11.372	0	5686	Photo/HV mark
11.472	0	5736	Photo/HV mark
11.572	0	5786	Photo/HV mark
11.672	0	5836	Photo/HV mark
11.772	0	5886	Photo/HV mark
11.872	0	5936	Photo/HV mark
11.972	0	5986	Photo/HV mark
12.072	0	6036	Photo/HV mark
12.172	0	6086	Photo/HV mark
12.272	0	6136	Photo/HV mark
12.372	0	6186	Photo/HV mark
12.472	0	6236	Photo/HV mark
12.572	0	6286	Photo/HV mark
12.672	0	6336	Photo/HV mark
12.772	0	6386	Photo/HV mark
12.872	0	6436	Photo/HV mark
12.972	0	6486	Photo/HV mark
13.072	0	6536	Photo/HV mark
13.172	0	6586	Photo/HV mark
13.272	0	6636	Photo/HV mark
13.372	0	6686	Photo/HV mark
13.472	0	6736	Photo/HV mark
13.572	0	6786	Photo/HV mark
13.672	0	6836	Photo/HV mark
13.772	0	6886	Photo/HV mark
13.872	0	6936	Photo/HV mark
13.972	0	6986	Photo/HV mark
14.072	0	7036	Photo/HV mark
14.172	0	7086	Photo/HV mark
14.272	0	7136	Photo/HV mark
14.372	0	7186	Photo/HV mark
14.472	0	7236	Photo/HV mark
14.572	0	7286	Photo/HV mark
14.672	0	7336	Photo/HV mark
14.772	0	7386	Photo/HV mark
14.872	0	7436	Photo/HV mark
14.972	0	7486	Photo/HV mark
15.072	0	7536	Photo/HV mark
15.172	0	7586	Photo/HV mark
15.272	0	7636	Photo/HV mark
15.372	0	7686	Photo/HV mark
25.37	0	12685	Photo/HV mark
25.389	0	12694.5	PHOTO 15Hz          
25.436	0	12718	Photo/HV mark
25.504	0	12752	Photo/HV mark
25.57	0	12785	Photo/HV mark
25.636	0	12818	Photo/HV mark
25.704	0	12852	Photo/HV mark
25.77	0	12885	Photo/HV mark
25.836	0	12918	Photo/HV mark
25.904	0	12952	Photo/HV mark
25.97	0	12985	Photo/HV mark
26.036	0	13018	Photo/HV mark
26.104	0	13052	Photo/HV mark
26.17	0	13085	Photo/HV mark
26.236	0	13118	Photo/HV mark
26.304	0	13152	Photo/HV mark
26.37	0	13185	Photo/HV mark
26.436	0	13218	Photo/HV mark
26.504	0	13252	Photo/HV mark
26.57	0	13285	Photo/HV mark
26.636	0	13318	Photo/HV mark
26.704	0	13352	Photo/HV mark
26.77	0	13385	Photo/HV mark
26.836	0	13418	Photo/HV mark
26.904	0	13452	Photo/HV mark
26.97	0	13485	Photo/HV mark
27.036	0	13518	Photo/HV mark
27.102	0	13551	Photo/HV mark
27.17	0	13585	Photo/HV mark
27.236	0	13618	Photo/HV mark
27.302	0	13651	Photo/HV mark
27.37	0	13685	Photo/HV mark
27.396	0	13698	open eyes
27.436	0	13718	Photo/HV mark
27.502	0	13751	Photo/HV mark
27.57	0	13785	Photo/HV mark
27.636	0	13818	Photo/HV mark
27.702	0	13851	Photo/HV mark
27.77	0	13885	Photo/HV mark
27.836	0	13918	Photo/HV mark
27.902	0	13951	Photo/HV mark
27.97	0	13985	Photo/HV mark
28.036	0	14018	Photo/HV mark
28.102	0	14051	Photo/HV mark
28.17	0	14085	Photo/HV mark
28.236	0	14118	Photo/HV mark
28.302	0	14151	Photo/HV mark
28.37	0	14185	Photo/HV mark
28.436	0	14218	Photo/HV mark
28.502	0	14251	Photo/HV mark
28.57	0	14285	Photo/HV mark
28.636	0	14318	Photo/HV mark
28.702	0	14351	Photo/HV mark
28.77	0	14385	Photo/HV mark
28.836	0	14418	Photo/HV mark
28.902	0	14451	Photo/HV mark
28.97	0	14485	Photo/HV mark
29.036	0	14518	Photo/HV mark
29.102	0	14551	Photo/HV mark
29.17	0	14585	Photo/HV mark
29.236	0	14618	Photo/HV mark
29.302	0	14651	Photo/HV mark
29.37	0	14685	Photo/HV mark
29.436	0	14718	Photo/HV mark
29.502	0	14751	Photo/HV mark
29.57	0	14785	Photo/HV mark
29.636	0	14818	Photo/HV mark
29.702	0	14851	Photo/HV mark
29.768	0	14884	Photo/HV mark
29.836	0	14918	Photo/HV mark
29.902	0	14951	Photo/HV mark
29.968	0	14984	Photo/HV mark
30.036	0	15018	Photo/HV mark
30.102	0	15051	Photo/HV mark
30.168	0	15084	Photo/HV mark
30.236	0	15118	Photo/HV mark
30.302	0	15151	Photo/HV mark
30.368	0	15184	Photo/HV mark
30.436	0	15218	Photo/HV mark
30.502	0	15251	Photo/HV mark
30.568	0	15284	Photo/HV mark
30.636	0	15318	Photo/HV mark
30.702	0	15351	Photo/HV mark
30.768	0	15384	Photo/HV mark
30.836	0	15418	Photo/HV mark
30.902	0	15451	Photo/HV mark
30.948	0	15474	closed eyes
30.968	0	15484	Photo/HV mark
31.036	0	15518	Photo/HV mark
31.102	0	15551	Photo/HV mark
31.168	0	15584	Photo/HV mark
31.236	0	15618	Photo/HV mark
31.302	0	15651	Photo/HV mark
31.368	0	15684	Photo/HV mark
31.436	0	15718	Photo/HV mark
31.502	0	15751	Photo/HV mark
31.568	0	15784	Photo/HV mark
31.636	0	15818	Photo/HV mark
31.702	0	15851	Photo/HV mark
31.768	0	15884	Photo/HV mark
31.836	0	15918	Photo/HV mark
31.902	0	15951	Photo/HV mark
31.968	0	15984	Photo/HV mark
32.036	0	16018	Photo/HV mark
32.102	0	16051	Photo/HV mark
32.168	0	16084	Photo/HV mark
32.236	0	16118	Photo/HV mark
32.302	0	16151	Photo/HV mark
32.368	0	16184	Photo/HV mark
32.434	0	16217	Photo/HV mark
32.502	0	16251	Photo/HV mark
32.568	0	16284	Photo/HV mark
32.634	0	16317	Photo/HV mark
32.702	0	16351	Photo/HV mark
32.768	0	16384	Photo/HV mark
32.834	0	16417	Photo/HV mark
32.902	0	16451	Photo/HV mark
32.968	0	16484	Photo/HV mark
33.034	0	16517	Photo/HV mark
33.102	0	16551	Photo/HV mark
33.168	0	16584	Photo/HV mark
33.234	0	16617	Photo/HV mark
33.302	0	16651	Photo/HV mark
33.368	0	16684	Photo/HV mark
33.434	0	16717	Photo/HV mark
33.502	0	16751	Photo/HV mark
33.568	0	16784	Photo/HV mark
33.634	0	16817	Photo/HV mark
33.702	0	16851	Photo/HV mark
33.768	0	16884	Photo/HV mark
33.834	0	16917	Photo/HV mark
33.902	0	16951	Photo/HV mark
33.968	0	16984	Photo/HV mark
34.034	0	17017	Photo/HV mark
34.102	0	17051	Photo/HV mark
34.168	0	17084	Photo/HV mark
34.234	0	17117	Photo/HV mark
34.302	0	17151	Photo/HV mark
34.368	0	17184	Photo/HV mark
34.434	0	17217	Photo/HV mark
34.502	0	17251	Photo/HV mark
34.568	0	17284	Photo/HV mark
34.634	0	17317	Photo/HV mark
34.702	0	17351	Photo/HV mark
34.768	0	17384	Photo/HV mark
34.834	0	17417	Photo/HV mark
34.902	0	17451	Photo/HV mark
34.968	0	17484	Photo/HV mark
35.034	0	17517	Photo/HV mark
35.1	0	17550	Photo/HV mark
35.168	0	17584	Photo/HV mark
35.234	0	17617	Photo/HV mark
35.3	0	17650	Photo/HV mark
35.368	0	17684	Photo/HV mark
45.368	0	22684	Photo/HV mark
45.39	0	22695	PHOTO 20Hz          
45.418	0	22709	Photo/HV mark
45.468	0	22734	Photo/HV mark
45.518	0	22759	Photo/HV mark
45.568	0	22784	Photo/HV mark
45.618	0	22809	Photo/HV mark
45.668	0	22834	Photo/HV mark
45.718	0	22859	Photo/HV mark
45.768	0	22884	Photo/HV mark
45.818	0	22909	Photo/HV mark
45.868	0	22934	Photo/HV mark
45.918	0	22959	Photo/HV mark
45.968	0	22984	Photo/HV mark
46.018	0	23009	Photo/HV mark
46.068	0	23034	Photo/HV mark
46.118	0	23059	Photo/HV mark
46.168	0	23084	Photo/HV mark
46.218	0	23109	Photo/HV mark
46.268	0	23134	Photo/HV mark
46.318	0	23159	Photo/HV mark
46.368	0	23184	Photo/HV mark
46.418	0	23209	Photo/HV mark
46.468	0	23234	Photo/HV mark
46.518	0	23259	Photo/HV mark
46.568	0	23284	Photo/HV mark
46.618	0	23309	Photo/HV mark
46.668	0	23334	Photo/HV mark
46.718	0	23359	Photo/HV mark
46.768	0	23384	Photo/HV mark
46.818	0	23409	Photo/HV mark
46.868	0	23434	Photo/HV mark
46.918	0	23459	Photo/HV mark
46.968	0	23484	Photo/HV mark
47.018	0	23509	Photo/HV mark
47.068	0	23534	Photo/HV mark
47.118	0	23559	Photo/HV mark
47.168	0	23584	Photo/HV mark
